id_produto,nome_produto,categoria,preco_unitario
1,Produto 1,Eletrônicos,426.83
2,Produto 2,Roupas,352.92
3,Produto 3,Livros,304.5
4,Produto 4,Brinquedos,178.4
5,Produto 5,Roupas,446.53
6,Produto 6,Eletrônicos,196.97
7,Produto 7,Brinquedos,237.58
8,Produto 8,Roupas,437.5
9,Produto 9,Eletrônicos,108.88
10,Produto 10,Brinquedos,428.17
11,Produto 11,Eletrônicos,276.9
12,Produto 12,Brinquedos,270.18
13,Produto 13,Alimentos,194.44
14,Produto 14,Brinquedos,465.52
15,Produto 15,Brinquedos,140.56
16,Produto 16,Alimentos,116.27
17,Produto 17,Roupas,381.02
18,Produto 18,Alimentos,246.61
19,Produto 19,Livros,10.94
20,Produto 20,Roupas,19.74
21,Produto 21,Alimentos,264.97
22,Produto 22,Brinquedos,430.5
23,Produto 23,Roupas,289.14
24,Produto 24,Brinquedos,202.74
25,Produto 25,Eletrônicos,289.89
26,Produto 26,Brinquedos,224.11
27,Produto 27,Alimentos,369.29
28,Produto 28,Livros,139.14
29,Produto 29,Roupas,93.47
30,Produto 30,Brinquedos,451.29
31,Produto 31,Eletrônicos,384.38
32,Produto 32,Roupas,117.09
33,Produto 33,Livros,346.52
34,Produto 34,Livros,79.57
35,Produto 35,Roupas,259.28
36,Produto 36,Roupas,71.67
37,Produto 37,Brinquedos,236.05
38,Produto 38,Roupas,50.32
39,Produto 39,Livros,361.89
40,Produto 40,Livros,311.1
41,Produto 41,Roupas,386.32
42,Produto 42,Brinquedos,289.09
43,Produto 43,Livros,277.74
44,Produto 44,Eletrônicos,159.02
45,Produto 45,Alimentos,256.13
46,Produto 46,Alimentos,396.83
47,Produto 47,Livros,171.56
48,Produto 48,Livros,226.72
49,Produto 49,Brinquedos,407.34
50,Produto 50,Livros,464.29
51,Produto 51,Alimentos,249.19
52,Produto 52,Roupas,170.38
53,Produto 53,Alimentos,370.15
54,Produto 54,Alimentos,173.16
55,Produto 55,Brinquedos,467.88
56,Produto 56,Alimentos,496.06
57,Produto 57,Alimentos,231.65
58,Produto 58,Livros,435.96
59,Produto 59,Brinquedos,263.18
60,Produto 60,Livros,266.79
61,Produto 61,Roupas,273.02
62,Produto 62,Alimentos,94.15
63,Produto 63,Roupas,57.64
64,Produto 64,Livros,150.46
65,Produto 65,Roupas,466.04
66,Produto 66,Brinquedos,402.43
67,Produto 67,Livros,303.87
68,Produto 68,Livros,107.47
69,Produto 69,Roupas,213.68
70,Produto 70,Livros,225.23
71,Produto 71,Eletrônicos,350.36
72,Produto 72,Roupas,441.19
73,Produto 73,Brinquedos,47.21
74,Produto 74,Roupas,163.54
75,Produto 75,Brinquedos,474.27
76,Produto 76,Alimentos,280.85
77,Produto 77,Eletrônicos,24.52
78,Produto 78,Brinquedos,463.62
79,Produto 79,Brinquedos,41.5
80,Produto 80,Brinquedos,440.99
81,Produto 81,Livros,138.78
82,Produto 82,Livros,450.8
83,Produto 83,Roupas,336.46
84,Produto 84,Roupas,258.32
85,Produto 85,Brinquedos,181.69
86,Produto 86,Brinquedos,352.52
87,Produto 87,Roupas,148.81
88,Produto 88,Livros,180.52
89,Produto 89,Roupas,368.95
90,Produto 90,Livros,230.25
91,Produto 91,Eletrônicos,302.46
92,Produto 92,Roupas,89.59
93,Produto 93,Livros,51.66
94,Produto 94,Livros,440.27
95,Produto 95,Brinquedos,105.68
96,Produto 96,Eletrônicos,384.19
97,Produto 97,Eletrônicos,92.84
98,Produto 98,Brinquedos,454.08
99,Produto 99,Brinquedos,43.75
100,Produto 100,Brinquedos,207.0
101,Produto 101,Eletrônicos,166.51
102,Produto 102,Eletrônicos,379.45
103,Produto 103,Alimentos,484.63
104,Produto 104,Roupas,181.91
105,Produto 105,Brinquedos,143.02
106,Produto 106,Brinquedos,462.8
107,Produto 107,Livros,453.82
