data,produto,categoria,quantidade,preco_unitario,loja
2024-05-10,Produto 293,Roupas,6,4817.55,Loja D
2023-02-26,Produto 365,Alimentos,9,956.7,Loja B
2023-07-15,Produto 537,Alimentos,1,2829.47,Loja E
2023-02-14,Produto 187,Livros,5,1721.05,Loja E
2024-04-19,Produto 144,Eletrônicos,5,914.89,Loja B
2023-06-16,Produto 457,Livros,9,368.51,Loja A
2023-10-31,Produto 451,Livros,5,929.72,Loja E
2024-06-19,Produto 932,Alimentos,6,3932.72,Loja D
2023-12-15,Produto 971,Livros,8,2952.58,Loja D
2024-03-01,Produto 167,Roupas,6,3153.5,Loja A
2024-02-06,Produto 794,Livros,2,1901.83,Loja A
2023-04-24,Produto 933,Roupas,2,4144.45,Loja E
2024-06-17,Produto 775,Livros,9,1556.67,Loja D
2023-10-13,Produto 997,Livros,9,617.61,Loja A
2023-04-27,Produto 290,Brinquedos,10,308.39,Loja A
2023-04-27,Produto 383,Roupas,9,4969.94,Loja A
2024-02-01,Produto 319,Roupas,1,1141.42,Loja A
2023-08-28,Produto 740,Roupas,4,3137.37,Loja C
2024-01-25,Produto 364,Brinquedos,9,508.81,Loja B
2023-11-22,Produto 148,Alimentos,10,2529.47,Loja D
2024-06-04,Produto 849,Livros,7,4318.95,Loja C
2023-07-26,Produto 438,Brinquedos,3,1867.42,Loja D
2023-12-15,Produto 786,Livros,7,4059.03,Loja B
2023-09-09,Produto 532,Brinquedos,1,2451.14,Loja A
2023-09-29,Produto 778,Eletrônicos,3,1485.91,Loja A
2023-06-20,Produto 639,Alimentos,10,367.95,Loja B
2024-01-15,Produto 818,Livros,4,4106.27,Loja A
2023-03-22,Produto 182,Alimentos,4,2620.69,Loja B
2023-01-24,Produto 127,Livros,10,4463.53,Loja C
2023-09-28,Produto 387,Brinquedos,10,3471.96,Loja D
2024-04-16,Produto 892,Livros,3,884.49,Loja E
2024-02-19,Produto 637,Livros,3,1097.98,Loja A
2023-06-28,Produto 584,Livros,1,3239.4,Loja B
2023-05-08,Produto 218,Roupas,2,2774.04,Loja C
2024-01-26,Produto 422,Eletrônicos,10,309.76,Loja B
2023-01-19,Produto 105,Livros,2,4356.91,Loja C
2023-09-20,Produto 223,Brinquedos,10,1145.65,Loja D
2023-06-26,Produto 539,Eletrônicos,10,1373.44,Loja C
2024-01-14,Produto 643,Brinquedos,10,2431.73,Loja B
2023-05-13,Produto 411,Roupas,8,4660.37,Loja D
2023-02-17,Produto 908,Livros,6,3889.08,Loja A
2023-02-18,Produto 146,Roupas,10,459.13,Loja D
2023-05-20,Produto 943,Roupas,8,4051.33,Loja B
2023-01-01,Produto 482,Eletrônicos,6,1644.48,Loja B
2023-07-15,Produto 319,Livros,10,4413.38,Loja E
2023-12-11,Produto 295,Livros,1,2234.44,Loja B
2023-07-10,Produto 146,Roupas,5,4727.65,Loja E
2023-12-19,Produto 177,Livros,3,4286.65,Loja A
2023-04-11,Produto 824,Alimentos,2,4588.76,Loja A
2023-09-17,Produto 115,Livros,6,1098.16,Loja D
2023-11-29,Produto 493,Roupas,8,367.71,Loja E
2023-07-25,Produto 268,Brinquedos,9,1048.53,Loja D
2024-01-26,Produto 683,Alimentos,1,4315.9,Loja E
2023-03-02,Produto 361,Alimentos,6,869.23,Loja D
2023-07-26,Produto 672,Eletrônicos,4,2673.47,Loja B
2024-04-29,Produto 257,Livros,3,1505.36,Loja C
2023-11-08,Produto 890,Brinquedos,6,3587.78,Loja E
2023-08-28,Produto 562,Livros,10,1981.21,Loja B
2023-10-31,Produto 265,Livros,6,1248.82,Loja E
2024-03-16,Produto 544,Livros,4,2294.17,Loja A
2023-06-28,Produto 758,Livros,2,2694.14,Loja E
2023-08-25,Produto 146,Brinquedos,6,615.12,Loja D
2024-05-13,Produto 470,Brinquedos,3,1938.55,Loja A
2024-05-04,Produto 880,Eletrônicos,7,1598.33,Loja A
2024-03-12,Produto 261,Eletrônicos,5,250.07,Loja B
2023-01-25,Produto 711,Alimentos,4,4184.65,Loja D
2023-03-05,Produto 12,Brinquedos,6,4336.24,Loja D
2023-07-29,Produto 322,Eletrônicos,5,3643.99,Loja D
2023-09-24,Produto 385,Roupas,6,4151.47,Loja C
2024-03-31,Produto 631,Alimentos,1,3092.45,Loja B
2024-02-21,Produto 450,Brinquedos,8,3090.83,Loja B
2023-08-06,Produto 391,Brinquedos,1,140.17,Loja B
2023-07-23,Produto 369,Livros,8,868.0,Loja E
2024-04-06,Produto 681,Alimentos,10,1879.94,Loja D
2023-12-17,Produto 885,Livros,8,4556.15,Loja B
2023-10-23,Produto 8,Alimentos,6,2012.84,Loja C
2024-01-21,Produto 207,Alimentos,1,774.01,Loja E
2023-08-12,Produto 180,Roupas,8,1212.87,Loja E
2023-02-01,Produto 258,Livros,1,4731.77,Loja B
2023-01-29,Produto 293,Eletrônicos,1,599.04,Loja A
2024-02-25,Produto 892,Eletrônicos,5,2630.71,Loja B
2023-01-29,Produto 567,Alimentos,4,2268.15,Loja D
2023-04-17,Produto 790,Brinquedos,2,1119.87,Loja A
2023-06-11,Produto 229,Roupas,7,1964.07,Loja B
2023-10-27,Produto 856,Alimentos,8,835.34,Loja E
2023-09-09,Produto 861,Eletrônicos,4,490.33,Loja A
2024-04-01,Produto 433,Alimentos,1,1740.99,Loja E
2024-01-17,Produto 495,Livros,7,258.87,Loja A
2024-03-22,Produto 425,Eletrônicos,1,1976.64,Loja C
2023-08-12,Produto 261,Eletrônicos,5,2617.94,Loja A
2023-10-08,Produto 501,Livros,10,2237.89,Loja A
2023-10-04,Produto 517,Roupas,4,1046.04,Loja C
2023-12-02,Produto 520,Alimentos,1,4103.32,Loja B
2024-05-01,Produto 943,Roupas,3,3981.12,Loja D
2023-05-07,Produto 232,Roupas,3,2263.07,Loja C
2023-10-23,Produto 378,Brinquedos,9,2845.56,Loja C
2024-03-07,Produto 481,Eletrônicos,9,3477.27,Loja B
2023-04-13,Produto 50,Roupas,8,4144.57,Loja C
2024-03-29,Produto 445,Roupas,3,1227.05,Loja D
2023-05-23,Produto 332,Alimentos,1,2442.45,Loja D
2023-08-09,Produto 187,Brinquedos,1,2355.77,Loja A
2024-01-01,Produto 907,Brinquedos,9,2698.25,Loja B
2023-12-25,Produto 129,Eletrônicos,5,4093.66,Loja B
2023-05-21,Produto 988,Livros,6,4804.32,Loja E
2023-12-05,Produto 527,Roupas,4,2371.16,Loja C
2023-08-15,Produto 685,Alimentos,3,3626.76,Loja B
2024-06-27,Produto 168,Brinquedos,1,2815.63,Loja B
