data,produto,categoria,quantidade,preco_unitario,loja
2023-05-01,Mesa XL,Escritório,2,4862.96,Loja C
2023-05-09,TV LED XL,TV e Áudio,3,2130.34,Loja E
2024-02-07,Geladeira Basic,Eletrodomésticos,5,549.44,Loja B
2023-09-07,Mesa XL,Escritório,4,37.07,Loja A
2023-02-01,Mesa Pro,Escritório,4,2485.07,Loja D
2023-11-10,Soundbar Basic,TV e Áudio,3,200.61,Loja A
2023-09-14,Mouse Gamer,Informática,3,2935.65,Loja B
2023-12-23,Monitor Mini,Informática,1,4296.93,Loja D
2023-11-20,Home Theater Basic,TV e Áudio,6,3262.58,Loja A
2023-08-28,Geladeira Basic,Eletrodomésticos,7,3117.21,Loja C
2024-04-18,Capa Gamer,Celulares,8,1247.36,Loja B
2024-06-11,Teclado Plus,Informática,9,3301.72,Loja E
2024-04-16,Notebook Mini,Informática,1,844.02,Loja E
2023-03-15,Cadeira Pro,Escritório,8,2466.11,Loja E
2023-01-26,Fone Bluetooth Gamer,Celulares,9,1173.82,Loja A
2023-11-07,Monitor Plus,Informática,2,3962.93,Loja B
2024-06-03,Soundbar Gamer,TV e Áudio,4,3490.84,Loja D
2024-01-09,Teclado Gamer,Informática,7,3244.12,Loja B
2023-08-07,Fone Bluetooth Gamer,Celulares,8,1787.07,Loja A
2023-02-28,Webcam Plus,Informática,6,4757.51,Loja E
2023-03-03,Organizador Basic,Escritório,1,1965.54,Loja E
2023-02-25,Teclado XL,Informática,8,51.2,Loja A
2024-05-27,Monitor Gamer,Informática,2,203.62,Loja C
2023-07-12,Liquidificador Gamer,Eletrodomésticos,2,1917.53,Loja C
2024-06-20,Home Theater Gamer,TV e Áudio,7,2833.76,Loja B
2024-01-27,Smartphone XL,Celulares,7,82.44,Loja B
2024-01-29,Ventilador Mini,Eletrodomésticos,2,558.63,Loja C
2023-08-18,Notebook Plus,Informática,5,693.7,Loja C
2024-04-27,Mouse XL,Informática,5,915.08,Loja B
2023-06-28,Smartphone Gamer,Celulares,4,1369.57,Loja E
